customernumber, customername, starttime, endtime, beginfootprint, afterfootprint, deltaptcount, %EGMchange, preUtilization, adjpreUtilization, postUtilization, adjpostUtilization, preTheoWin, preTheoWPUPD, adjpreTheoWPUPD, postTheoWin, postTheoWPUPD, adjpostTheoWPUPD, preActualWPUPD, adjpreActualWPUPD, postActualWPUPD, adjpostActualWPUPD, %TheoWchange, adj%TheoWchange, %ActualWchange, adj%ActualWchange, DFtheo, adjDFtheo, DFactual, adjDFactual
CHIC014, Chickasaw Nation - Black Gold Casino, 2014-10, 2015-2, 10, 14, 4, 0.4, 0.13722222222222222, 0.19672477631020488, 0.11541666666666667, 0.1510989491327396, 286803.31175719, 174.24259523523085, 171.76007134285544, 289380.75930319994, 147.2675619863613, 142.1254100273283, 220.2442284325638, 221.57934153821384, 152.0312213740458, 150.23049869109417, -0.15481308237203847, -0.17253521778279024, -0.30971529898411854, -0.32200133077304394, -0.38703270593009614, -0.4313380444569756, -0.7742882474602963, -0.8050033269326098
CHIC015, Chickasaw Nation - Border Casino, 2014-9, 2014-10, 39, 41, 2, 0.05128205128205128, 0.29881944444444447, 0.35223935931626016, 0.29756944444444444, 0.33403464893695184, 2767997.3861399996, 385.085891227045, 361.5751229472732, 2537410.5019282, 390.43091274476075, 365.087810226204, 401.9456037840846, 377.7789407657206, 371.64035697799665, 345.8217830945222, 0.01388007621023003, 0.009714958402829712, -0.07539638826941168, -0.08459221577154206, 0.2706614860994856, 0.18944168885517937, -1.4702295712535278, -1.6495482075450703
CHIC015, Chickasaw Nation - Border Casino, 2016-1, 2016-2, 41, 51, 4, 0.0975609756097561, 0.29215277777777776, 0.4116929953831759, 0.2931944444444444, 0.3465150941065477, 2522217.3253502, 382.26997959233097, 376.70386078149437, 3600444.9773442005, 415.3720555311722, 391.16026060477617, 375.2559775689602, 369.54791848881484, 343.26374596215965, 336.0103530201661, 0.08659344888694288, 0.038376033081506375, -0.08525442236538759, -0.09075295459867083, 0.8875828510911645, 0.3933543390854403, -0.8738578292452228, -0.9302177846363759
CHIC018, Chickasaw Nation - Washita Gaming Center, 2014-4, 2014-4, 14, 15, 1, 0.07142857142857142, 0.19743055555555555, 0.26884604613755886, 0.14298611111111112, 0.21641913487428563, 580061.89122636, 227.65380346403452, 222.49914052309657, 499068.70914431004, 186.01144582344764, 185.9918485283377, 207.21507064364206, 205.96815138444268, 202.5624301155423, 208.34697385383896, -0.18291966576857863, -0.1640783506351083, -0.022453195675623136, 0.011549467494885533, -2.560875320760101, -2.2970969088915165, -0.31434473945872393, 0.16169254492839746
CHIC018, Chickasaw Nation - Washita Gaming Center, 2015-4, 2015-6, 15, 23, 8, 0.5333333333333333, 0.14395833333333333, 0.19189345369173538, 0.09569444444444444, 0.14963966916378416, 452511.98478129995, 186.60288032218554, 180.76614901426393, 484076.89052559994, 123.26887968566334, 124.65437000353961, 183.21948041237113, 178.20822910023918, 112.19823529411765, 110.40565015158134, -0.3394052681671941, -0.3104108779033437, -0.3876293337280857, -0.3804682830360208, -0.6363848778134888, -0.5820203960687694, -0.7268050007401607, -0.713378030692539
CHIC020, Chickasaw Nation - Tishomingo Gaming Center, 2015-12, 2015-12, 5, 6, 1, 0.2, 0.12590277777777778, 0.21125061059678094, 0.12743055555555555, 0.154455928888533, 126638.29132520102, 151.8444740110324, 156.2324465921355, 119591.88695498, 157.15096840339027, 148.72926971411303, 123.40707434052757, 129.47934937611032, 185.759185282523, 172.57028509293036, 0.034946904896732224, -0.048025727316493017, 0.505255563955288, 0.3328016083217249, 0.1747345244836611, -0.24012863658246508, 2.52627781977644, 1.6640080416086245
CHIC021, Chickasaw Nation - Salt Creek Casino, 2014-8, 2014-8, 17, 19, 2, 0.11764705882352941, 0.19555555555555557, 0.22306474802077692, 0.17993055555555557, 0.2491593240386811, 739153.2052709, 240.21878624338643, 225.96105736724084, 778045.99751, 230.05499630691898, 225.45608096924894, 246.26811829704258, 233.30650354445888, 224.71200473092844, 224.20529867123003, -0.04231055403872384, -0.002234793923676808, -0.0875310767596546, -0.03900964925949665, -0.3596397093291526, -0.018995748351252867, -0.7440141524570641, -0.3315820187057215
CHIC021, Chickasaw Nation - Salt Creek Casino, 2015-12, 2015-12, 19, 27, 8, 0.42105263157894735, 0.16569444444444445, 0.23288216142320284, 0.11465277777777778, 0.12465749442869971, 717343.6891637, 210.85940304635508, 206.0016195595238, 897405.7094894199, 151.30765629563646, 139.44975605677965, 216.01248677248677, 216.8809792797766, 157.60979261507333, 146.41892875029168, -0.2824239559173315, -0.32306475864144407, -0.27036721362744903, -0.3248881057411163, -0.6707568953036623, -0.7672788017734297, -0.6421221323651914, -0.7716092511351513
CHIC022, Chickasaw Nation - Artesian Casino, 2015-6, 2015-6, 7, 8, 1, 0.14285714285714285, 0.16701388888888888, 0.18375349988643247, 0.15361111111111111, 0.22614560132991773, 274867.32958146004, 215.5822192795765, 199.98999720061957, 295913.37954900996, 201.02811110666437, 199.97364680937497, 183.73553725490197, 173.00416662006978, 182.2755706521739, 185.38463045703804, -0.06751070761563001, -8.175604516959164e-05, -0.007946021899414062, 0.07156165125292441, -0.4725749533094101, -0.0005722923161871415, -0.05562215329589843, 0.5009315587704709
CHOC005, Choctaw - Idabel, 2014-3, 2014-5, 35, 41, 6, 0.17142857142857143, 0.22319444444444445, 0.29957270486249954, 0.23125, 0.3254163587048085, 1344183.3761864, 231.67586628514306, 225.84264302195797, 1440627.5746165002, 250.9366965017419, 246.32631505403236, 233.28197173388486, 227.9388873480696, 247.17000522557046, 245.4349146988852, 0.08313697289856209, 0.09069886783995365, 0.05953324806225619, 0.07675753599735097, 0.48496567524161216, 0.5290767290663962, 0.34727728036316113, 0.44775229331788063
