customernumber, customername, starttime, endtime, beginfootprint, afterfootprint, deltaptcount, %EGMchange, preUtilization, adjpreUtilization, postUtilization, adjpostUtilization, preTheoWin, preTheoWPUPD, adjpreTheoWPUPD, postTheoWin, postTheoWPUPD, adjpostTheoWPUPD, preActualWPUPD, adjpreActualWPUPD, postActualWPUPD, adjpostActualWPUPD, %TheoWchange, adj%TheoWchange, %ActualWchange, adj%ActualWchange, DFtheo, adjDFtheo, DFactual, adjDFactual
CHER009, Cherokee Casino - Will Rogers Downs, 2014-5, 2014-5, 100, 102, 2, 0.02, 0.22, 0.2710948772154661, 0.20979166666666665, 0.32173087266659234, 4216278.468435, 232.80207986499914, 222.48928875716416, 4356395.268618, 233.27417770377508, 233.598958387577, 226.0865799790183, 215.68950738700235, 230.1994591700134, 229.31509245601075, 0.0020278935611301443, 0.04993350328221186, 0.018191611334811616, 0.06317222026271588, 0.10139467805650722, 2.496675164110593, 0.9095805667405807, 3.158611013135794
CHER009, Cherokee Casino - Will Rogers Downs, 2015-7, 2015-8, 102, 112, 10, 0.09803921568627451, 0.22909722222222223, 0.2675696906850748, 0.21611111111111111, 0.30775909195086065, 5090495.970287001, 275.83288920547284, 259.9795146283392, 5363925.935183, 261.3871612096389, 258.6739801793772, 283.31856949336225, 269.8329717467895, 273.76302080795284, 273.1945467037182, -0.05237130364491466, -0.005021681999938829, -0.033727223395546894, 0.012457984415941467, -0.5341872971781295, -0.05122115639937606, -0.3440176786345783, 0.12707144104260296
CHER010, Cherokee Casino - West Siloam Springs, 2014-10, 2015-1, 452, 468, 16, 0.035398230088495575, 0.22743055555555555, 0.2967674879877507, 0.2552083333333333, 0.2799838678708103, 24697544.33633, 291.8434563411954, 280.85995398423654, 28549000.957200002, 330.0729649474524, 305.49315126310796, 297.60037506203764, 286.6110596260015, 319.9500105210827, 298.5140887141156, 0.13099320123718222, 0.08770633523729046, 0.07509948686854322, 0.04153025045037103, 3.700557934950398, 2.4777039704534554, 2.121560504036346, 1.1732295752229815
CHER010, Cherokee Casino - West Siloam Springs, 2015-5, 2015-5, 468, 482, 14, 0.029914529914529916, 0.2461111111111111, 0.2768806212568334, 0.2388888888888889, 0.3417765011552376, 26690124.373430002, 312.8091084973747, 291.31579607261733, 27968524.121790003, 315.86434307354375, 310.22226577180226, 312.56517205006793, 293.6924434052553, 298.6981476294807, 294.3320929691912, 0.00976708955453792, 0.06490025585317742, -0.04436522575319422, 0.0021779571735636243, 0.32649985082312477, 2.169522838520502, -1.4830661180353497, 0.07280599694484115
CHER010, Cherokee Casino - West Siloam Springs, 2016-1, 2016-2, 482, 488, 6, 0.012448132780082987, 0.2415972222222222, 0.34283827435682884, 0.25277777777777777, 0.3019397931022319, 28549853.01254, 320.84254486806617, 315.9705890845545, 31029370.69281, 345.64257285386475, 323.4867532774888, 306.8662756225838, 302.79700803088195, 341.83877000879994, 320.81358681240465, 0.07729656924394677, 0.023787543691045732, 0.11396656186888694, 0.059500517850840866, 6.209491062597058, 1.9109326765140073, 9.155313803467251, 4.77987493401755
CHER014, Cherokee Casino South Coffeyville - Cherokee, 2016-3, 2016-3, 113, 117, 4, 0.035398230088495575, 0.21125, 0.3001623531566086, 0.18868055555555555, 0.2565215406920816, 5594019.812154, 272.1753423905999, 270.37461733654453, 5125150.294086, 238.87906287979493, 233.15695893022607, 260.46072738772926, 253.798793489077, 255.41687065951993, 250.73481244954556, -0.12233393083426838, -0.13765219077496602, -0.01936513338804013, -0.012072480713598519, -3.455933546068082, -3.88867438939279, -0.5470650182121337, -0.34104758015915815
CHEY001, Cheyenne-Arapaho - Lucky Star Casino - Concho, 2015-12, 2015-12, 522, 523, 1, 0.0019157088122605363, 0.08513888888888889, 0.1244568756652241, 0.09270833333333334, 0.10300226238048718, 12186769.227620002, 127.084511472131, 126.77053023796863, 12526091.38663, 144.81532754465474, 135.70056126270276, 122.00968455081077, 120.95309691454194, 142.88587130189487, 133.949899765541, 0.13951988221957337, 0.07044248381679112, 0.17110270244482298, 0.10745324578321302, 72.8293785186173, 36.770976552364964, 89.3156106761976, 56.0905942988372
CHEY003, Cheyenne-Arapaho - Feather Warrior Casino - Watonga, 2014-4, 2014-4, 62, 63, 1, 0.016129032258064516, 0.1082638888888889, 0.15619451874097326, 0.10152777777777777, 0.16211368189712855, 1201782.24826, 106.26777330091078, 105.67099490724202, 1241656.6626880001, 106.81836396145906, 108.61256466672401, 109.59851711026617, 104.24652092961357, 122.46811080523054, 126.92774573847213, 0.005181163051089937, 0.02783705937531962, 0.11742488889714058, 0.2175729665278014, 0.3212321091675761, 1.7258976812698166, 7.280343111622716, 13.489523924723686
CHIC001, Chickasaw Nation - Chisholm Trail Casino, 2015-3, 2015-4, 84, 88, 4, 0.047619047619047616, 0.19583333333333333, 0.2928868680510678, 0.16055555555555556, 0.2526661167029053, 4583291.745069, 308.53529081581956, 310.3759098093571, 4127112.4348569997, 254.57145539458423, 258.24680941635825, 303.64788623359135, 309.62709545109385, 240.83784233900812, 243.88104927109546, -0.1749032834414041, -0.16795472440183334, -0.20685157625719314, -0.21233944685691467, -3.6729689522694864, -3.5270492124385004, -4.343883101401056, -4.459128383995208
CHIC003, Chickasaw Nation - New Castle Casino, 2015-8, 2015-12, 389, 459, 70, 0.17994858611825193, 0.21506944444444445, 0.25874258014635504, 0.19527777777777777, 0.23174899785861783, 26303269.84149, 370.8289724026166, 356.2433051833473, 29024231.268, 346.9888729646367, 330.77692763443565, 360.1940203860089, 348.25400139107023, 351.9398403988236, 335.50542081749273, -0.06428866461948456, -0.07148591195504678, -0.022915927305899038, -0.036607133077163234, -0.35726129338542134, -0.39725742500733136, -0.12734708174278178, -0.20343106810023567
