customernumber,customername,denom,paytableseries,year,month,beginfootprint,deltaptcount,trainset,gamesPlayed,ActualWin,TheoWin,MachineDays,GamesPlayedAdj,ActualWinAdj,TheoWinAdj
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2016,6,16,0,TRAIN,242535,17913,20563.6691719,378,307914.791165,17108.4208457,19408.5693157
7CLA001,7 Clans - Paradise Casino,$1.00,M38WAP,2016,6,13,0,CTRL,204126,22802.26,22445.2175314,390,243136.793833,20479.3314477,20938.2512267
7CLA001,7 Clans - Paradise Casino,$1.00,M37WAP,2016,6,3,0,CTRL,34712,-1321.47,3819.43419257,90,43354.888194,-3245.16427249,3624.99559377
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2016,6,21,0,TRAIN,375547,29920,30957.7098065,455,486828.598081,28138.6813432,29483.6611303
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2016,7,16,0,CTRL,305257,14670,25625.679821,389,269295.273665,14976.102091,22657.7282428
7CLA001,7 Clans - Paradise Casino,$1.00,M37WAP,2016,7,3,0,CTRL,31781,4340.8,3434.08127373,93,26071.3813199,3473.01067875,2999.29672979
7CLA001,7 Clans - Paradise Casino,$1.00,M38WAP,2016,7,13,0,CTRL,206837,18489.65,22365.437944,403,177340.718233,16301.1178007,19873.1056314
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2016,7,21,0,CTRL,483473,47051,39369.6047133,471,433813.295484,42047.7448283,35149.5321072
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2016,8,16,0,CTRL,260718,27705,21579.9136293,393,321866.886159,25553.8350485,20110.8122222
7CLA001,7 Clans - Paradise Casino,$1.00,M37WAP,2016,8,3,0,CTRL,32152,12651.84,3103.67434044,93,36624.6937323,11346.7834086,2832.05572919
7CLA001,7 Clans - Paradise Casino,$1.00,M38WAP,2016,8,13,0,CTRL,234520,35985.4,25270.846023,403,275226.275695,34780.1552299,23257.5480972
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2016,8,21,0,CTRL,460151,37866,37825.1896335,473,535751.208667,35148.9704064,34635.6247944
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2016,9,16,0,CTRL,272817,19024,23042.1185993,378,312634.417117,17559.2320558,21580.2571376
7CLA001,7 Clans - Paradise Casino,$1.00,M37WAP,2016,9,3,0,CTRL,32274,4828.87,3187.08281148,90,33022.1970803,4697.35227387,2936.04517005
7CLA001,7 Clans - Paradise Casino,$1.00,M38WAP,2016,9,13,0,CTRL,203629,30761.01,21410.9330501,390,232832.857803,27949.7084328,20170.9919951
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2016,9,21,0,CTRL,386270,39661,31162.3721616,445,452086.284524,38587.0405238,29399.6168467
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2016,10,16,0,CTRL,228778,30542,19399.9579451,394,308486.520315,29044.0177658,18624.8676873
7CLA001,7 Clans - Paradise Casino,$1.00,M37WAP,2016,10,3,0,CTRL,38193,5496.69,3847.53325925,93,59854.0759103,6392.92285421,3764.32857829
7CLA001,7 Clans - Paradise Casino,$1.00,M38WAP,2016,10,13,0,CTRL,190639,6299.63,20434.3634753,403,246364.594906,4687.67884759,19364.5374369
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2016,10,21,0,CTRL,359533,35004,29623.0631764,469,489901.325843,36950.5569919,28406.6414748
7CLA001,7 Clans - Paradise Casino,$1.00,M1,2016,11,16,0,CTRL,13883,2550,1202.40678497,124,34757.1537975,3057.97464907,1453.55666185
7CLA001,7 Clans - Paradise Casino,$1.00,M37WAP,2016,11,3,0,CTRL,1993,377.99,185.659125496,27,4328.03423408,400.391245445,218.712991582
7CLA001,7 Clans - Paradise Casino,$1.00,M38WAP,2016,11,13,0,CTRL,12855,2470.91,1505.61516592,117,32938.1964006,2968.82079254,1841.52543147
7CLA001,7 Clans - Paradise Casino,$1.00,M4,2016,11,21,0,CTRL,20802,1812,1569.87699546,149,52871.9183694,2243.5622968,1909.96668353
7CLA002,7 Clans - Chilocco,$1.00,M1,2013,7,16,0,CTRL,362314,24927,28165.479192,368,454934.350154,24457.9728489,27016.5638457
7CLA002,7 Clans - Chilocco,$1.00,M4,2013,7,30,0,CTRL,895303,83382,64997.6355929,690,1106766.09569,80179.7343809,62349.6244212
7CLA002,7 Clans - Chilocco,$1.00,M1,2013,8,16,0,CTRL,549854,46962,43023.6275979,475,582800.885961,39763.7886619,39228.5404506
7CLA002,7 Clans - Chilocco,$1.00,M4,2013,8,30,0,CTRL,1222301,109590,88568.3210808,887,1330044.91159,105236.961812,81289.4839666
7CLA002,7 Clans - Chilocco,$1.00,M1,2013,9,16,-2,TRMT,540186,34789,42218.1296982,420,761360.854372,30859.7389113,41785.5053303
7CLA002,7 Clans - Chilocco,$1.00,M4,2013,9,30,-4,TRMT,1217317,96709,89793.2912018,780,1646947.76454,96265.5064295,87846.6159991
7CLA002,7 Clans - Chilocco,$1.00,M1,2013,10,14,0,TRAIN,547778,33544,43146.2105597,434,805438.455228,28083.3675903,42262.6658752
7CLA002,7 Clans - Chilocco,$1.00,M4,2013,10,26,0,TRAIN,1150457,114866,85427.8001623,806,1597166.35483,111455.415679,82544.4432681
7CLA002,7 Clans - Chilocco,$1.00,M1,2013,11,14,1,TRMT,553812,32157,42499.4607081,424,676160.975467,27743.1400184,39830.6687851
7CLA002,7 Clans - Chilocco,$1.00,M4,2013,11,26,4,TRMT,1333715,110664,98163.5456194,808,1536185.40351,111573.076512,91144.9660804
7CLA002,7 Clans - Chilocco,$1.00,M1,2013,12,15,0,TRAIN,480275,48231,37282.1873082,435,667032.843199,51056.3186685,36826.9468515
7CLA002,7 Clans - Chilocco,$1.00,M4,2013,12,30,0,TRAIN,1228921,87907,91655.5386192,836,1669028.88413,88249.2243434,90624.2929946
7CLA002,7 Clans - Chilocco,$1.00,M1,2014,1,15,-1,TRMT,472424,57685,36048.5240003,418,630393.057714,53544.7084806,34684.0133885
7CLA002,7 Clans - Chilocco,$1.00,M4,2014,1,30,-5,TRMT,1084503,91399,80120.8840288,773,1361267.70133,86888.8969606,76351.4125034
7CLA002,7 Clans - Chilocco,$1.00,M1,2014,2,14,0,TRAIN,540667,40992,42067.5398475,365,299669.102122,34711.9033557,35082.3532683
7CLA002,7 Clans - Chilocco,$1.00,M4,2014,2,25,0,TRAIN,1192349,88615,86788.0754714,634,699772.225241,76562.6671907,73174.7638924
7CLA002,7 Clans - Chilocco,$1.00,M1,2014,3,14,0,CTRL,600228,41075,46524.8640919,402,453476.052366,36120.7613645,39546.6917712
7CLA002,7 Clans - Chilocco,$1.00,M4,2014,3,25,0,CTRL,1395666,93941,104090.251971,705,1047157.28619,82255.2381261,87953.9796189
7CLA002,7 Clans - Chilocco,$1.00,M1,2014,4,14,0,CTRL,513627,34819,39368.5313736,388,529766.418238,32115.0656815,35901.6167488
7CLA002,7 Clans - Chilocco,$1.00,M4,2014,4,25,-7,TRMT,1013819,74370,75690.3249248,579,1044150.43517,63794.7305348,68969.6712843
7CLA002,7 Clans - Chilocco,$1.00,M1,2014,5,14,2,TRMT,694425,43068,54587.6766062,485,726269.256058,39769.0378722,49609.8656096
7CLA002,7 Clans - Chilocco,$1.00,M4,2014,5,18,0,TRAIN,1165157,91115,87570.2245432,551,1312693.66618,86008.7052689,81354.4482252
7CLA002,7 Clans - Chilocco,$1.00,M1,2014,6,16,0,TRAIN,620322,65641,48388.3784618,473,772946.088207,65348.7761843,45384.7337162
7CLA002,7 Clans - Chilocco,$1.00,M4,2014,6,18,0,CTRL,1094136,82954,82062.3993804,535,1424294.30826,80276.9613833,77813.5562032
7CLA002,7 Clans - Chilocco,$1.00,M1,2014,7,16,0,CTRL,647697,41133,50050.2676113,494,769254.533493,37159.8788266,47822.0175291
7CLA002,7 Clans - Chilocco,$1.00,M4,2014,7,18,0,CTRL,1191408,102097,89774.6243282,552,1481670.15127,100081.027096,86656.1188292
7CLA002,7 Clans - Chilocco,$1.00,M1,2014,8,16,0,CTRL,653002,80247,53042.1287788,493,630225.15359,70486.2636392,47509.889442
7CLA002,7 Clans - Chilocco,$1.00,M4,2014,8,18,0,CTRL,1177664,65388,93256.1801235,557,1176742.62721,56299.2796757,83623.0294395
7CLA002,7 Clans - Chilocco,$1.00,M1,2014,9,16,1,TRMT,495471,34585,39825.2067666,493,723876.730229,29604.8841947,39429.1461265
7CLA002,7 Clans - Chilocco,$1.00,M4,2014,9,18,2,TRMT,1008870,107364,80528.1675027,571,1465251.40686,104799.553664,79807.7746036
7CLA002,7 Clans - Chilocco,$1.00,M1,2014,10,17,0,TRAIN,543284,28077,44075.9912354,518,684900.946934,27097.9829204,41436.6976803
7CLA002,7 Clans - Chilocco,$1.00,M4,2014,10,20,0,TRAIN,1084192,69880,85905.3554074,595,1421955.57514,63992.4496056,81640.6691291
7CLA002,7 Clans - Chilocco,$1.00,M1,2014,11,17,0,CTRL,614062,24214,49649.8190482,498,796124.377444,23265.6405306,47709.800376
7CLA002,7 Clans - Chilocco,$1.00,M4,2014,11,20,0,CTRL,1144254,50054,91560.4135401,578,1509022.24751,46205.6763297,88082.4759682
7CLA002,7 Clans - Chilocco,$1.00,M1,2014,12,17,0,CTRL,603142,55865,49862.4726526,516,762705.833878,53210.3419618,48140.795869
7CLA002,7 Clans - Chilocco,$1.00,M4,2014,12,20,0,CTRL,1220473,66676,98991.6976138,600,1606848.52721,54266.333105,96492.4358071
7CLA002,7 Clans - Chilocco,$1.00,M1,2015,1,17,0,CTRL,617890,41466,49741.25615,521,685616.263061,32606.8025168,46114.8764885
7CLA002,7 Clans - Chilocco,$1.00,M4,2015,1,20,0,CTRL,1092060,94886,87344.5725156,595,1209846.29667,83934.6274108,81028.1019336
7CLA002,7 Clans - Chilocco,$1.00,M1,2015,2,17,0,CTRL,560301,51516,45594.524228,467,393937.528889,42668.3385755,39551.9297187
7CLA002,7 Clans - Chilocco,$1.00,M4,2015,2,20,0,CTRL,1052918,82306,84080.5663355,539,762820.564128,69278.5320018,73858.9613611
7CLA002,7 Clans - Chilocco,$1.00,M1,2015,3,17,0,CTRL,609190,29346,49943.2142024,512,481691.398768,21370.9208435,42797.8246255
7CLA002,7 Clans - Chilocco,$1.00,M4,2015,3,20,0,CTRL,1113194,112524,88499.4354489,593,895010.473113,96739.1550711,75754.344745
7CLA002,7 Clans - Chilocco,$1.00,M1,2015,4,17,0,CTRL,519720,61615,42861.5664539,497,545482.072073,52507.1992973,39554.2579684
7CLA002,7 Clans - Chilocco,$1.00,M4,2015,4,20,0,CTRL,1036325,58976,83725.3853445,582,1122655.5786,60088.4650725,77329.7517949
7CLA002,7 Clans - Chilocco,$1.00,M1,2015,5,17,0,CTRL,603862,52968,49708.053402,509,659263.449957,50116.14709,45917.3867154
7CLA002,7 Clans - Chilocco,$1.00,M4,2015,5,20,0,CTRL,1088041,109611,86512.1256616,597,1187331.72182,98513.1882729,79491.9582721
7CLA002,7 Clans - Chilocco,$1.00,M1,2015,6,17,0,CTRL,507632,47549,41304.5216386,500,719079.927917,41580.1972643,40110.9341376
7CLA002,7 Clans - Chilocco,$1.00,M4,2015,6,20,0,CTRL,1020350,101338,82048.200982,579,1444953.55382,102266.397134,79864.6468412
