customernumber, customername, starttime, endtime, beginfootprint, afterfootprint, deltaptcount, %EGMchange, preUtilization, adjpreUtilization, postUtilization, adjpostUtilization, preTheoWPUPD, adjpreTheoWPUPD, postTheoWPUPD, adjpostTheoWPUPD, preActualWPUPD, adjpreActualWPUPD, postActualWPUPD, adjpostActualWPUPD, %TheoWchange, adj%TheoWchange, %ActualWchange, adj%ActualWchange, DFtheo, adjDFtheo, DFactual, adjDFactual
CREE012, Creek Nation Casino - River Spirit, 2014-12, 2014-12, 903, 936, 33, 0.036544850498338874, 0.2078472222222222, 0.22294964206569895, 0.19027777777777777, 0.20439445611118673, 295.9002971109415, 261.53920357065715, 279.48543161480643, 228.03938570925317, 295.864231827784, 261.1659019212778, 277.86871251839113, 224.4661186513578, -0.055474312315342694, -0.12808717547521975, -0.0608235716707644, -0.1405228745404225, -1.5179789097198317, -3.5049308925491944, -1.6643540975363713, -3.845216839697015
EAST001, Eastern Shawnee - Bordertown Casino, 2015-6, 2015-7, 50, 81, 31, 0.62, 0.1425, 0.16791526315540056, 0.07131944444444445, 0.08187747079875844, 105.41172021051503, 95.53365400772532, 55.91782875739491, 45.964769315359526, 98.6516201716738, 88.80502468484978, 54.79203025540275, 45.26813119463261, -0.4695293023800119, -0.5188630667090093, -0.44459067007664427, -0.4902525915027937, -0.757305326419374, -0.8368759140467892, -0.7170817259300714, -0.7907299862948286
IOWA001, Cimarron Casino, 2013-9, 2013-9, 105, 140, 35, 0.3333333333333333, 0.13868055555555556, 0.1498947959143648, 0.11361111111111111, 0.11677387429252363, 127.61911337381218, 124.73004546226943, 122.10743595671092, 105.27044922095932, 131.31112632755728, 127.87758992202347, 118.30897600970859, 101.44520195348457, -0.043188494821750426, -0.156013702786604, -0.09901788737547387, -0.2067007048276145, -0.1295654844652513, -0.46804110835981205, -0.29705366212642165, -0.6201021144828435
IOWA001, Cimarron Casino, 2013-11, 2013-12, 140, 190, 50, 0.35714285714285715, 0.13458333333333333, 0.13435738284694074, 0.11319444444444444, 0.11455610438928357, 132.13695786915832, 118.39124452122078, 123.7605713695768, 103.29542287786708, 137.9429387219838, 122.64327980567477, 116.28753318281827, 95.64795982381109, -0.06339170081299893, -0.1275079226035831, -0.1569881411821361, -0.22011250860737816, -0.177496762276397, -0.35702218329003266, -0.4395667953099811, -0.6163150241006589
KICK002, Kickapoo of Texas- Lucky Eagle, 2015-5, 2015-6, 689, 739, 50, 0.07256894049346879, 0.14958333333333335, 0.16083107567835442, 0.14041666666666666, 0.15703861745206224, 183.76893695452753, 158.70348600598948, 181.09697338539706, 144.55490914444798, 185.43491748758765, 159.85178401012686, 178.5884624969932, 142.32613663315627, -0.01453979988898575, -0.0891510150004363, -0.03692106688079784, -0.10963685820272308, -0.20035844247022366, -1.2285009867060124, -0.5087723016173943, -1.510795906033524
POTA002, Citizen Potawatomi - Grand Casino Hotel & Resort, 2014-1, 2014-2, 100, 250, 150, 1.5, 0.1811111111111111, 0.17083729132282527, 0.08465277777777777, 0.08945327261763979, 191.96109713775368, 161.1876514513165, 90.28694879921834, 78.17560178805971, 195.4305752879868, 165.71681922401265, 91.72143000572757, 79.51811129381761, -0.5296601751842078, -0.515002538444013, -0.5306700096923589, -0.5201566644461922, -0.35310678345613855, -0.343335025629342, -0.3537800064615726, -0.3467711096307948
POTA002, Citizen Potawatomi - Grand Casino Hotel & Resort, 2014-4, 2014-5, 250, 425, 175, 0.7, 0.13569444444444445, 0.14019385951174873, 0.08263888888888889, 0.088712365302244, 141.84189512295222, 125.28352140401053, 89.58272820936408, 77.26688674182382, 142.6886088734511, 128.60843179681225, 91.10521611901048, 78.46919927317497, -0.36843252036564056, -0.3832637694413466, -0.3615102366033251, -0.38985960580603285, -0.5263321719509151, -0.5475196706304952, -0.5164431951476073, -0.5569422940086184
QUAP002, Quapaw Downstream Casino, 2014-7, 2014-7, 414, 482, 68, 0.1642512077294686, 0.21006944444444445, 0.2225440615117474, 0.18659722222222222, 0.1939659901554311, 338.6813538926161, 305.5626956351192, 316.57367522384135, 261.23177710956446, 349.25859044243964, 316.36469094222997, 320.24994995882327, 263.8515419733953, -0.06527574788124973, -0.1450796159309038, -0.0830577723138272, -0.1659892853795871, -0.39741411210054983, -0.8832788381675613, -0.5056752608518303, -1.0105818256933685
SENE001, Seneca Cayuga-Grand Lake Casino, 2015-3, 2015-4, 187, 227, 40, 0.21390374331550802, 0.135, 0.14275387490020966, 0.13291666666666666, 0.1451932662455887, 122.38362437697879, 105.14636701642053, 123.83867516890689, 99.21684013416969, 113.83613254451836, 97.90902227321817, 126.6751924374675, 102.09854164641068, 0.011889260506341133, -0.05639307424977257, 0.11278545402030514, 0.04278992145893896, 0.0555822928671448, -0.26363762211768677, 0.5272719975449266, 0.20004288282053964
SENE001, Seneca Cayuga-Grand Lake Casino, 2015-10, 2015-11, 226, 269, 43, 0.1902654867256637, 0.13722222222222222, 0.14660460855550625, 0.12854166666666667, 0.14049599158854895, 128.2057896620285, 105.69228555129177, 117.3420929272862, 90.4837587866841, 126.29558776250308, 104.18784978390197, 119.0017293453416, 92.32409511674841, -0.08473639734508707, -0.14389438817866296, -0.05775228213734167, -0.11386888866370119, -0.4453587395346437, -0.7562821332180891, -0.30353525030323764, -0.5984736939068946
WICH001, Sugar Creek Casino, 2014-5, 2014-5, 85, 121, 36, 0.4235294117647059, 0.1304861111111111, 0.13048658123517312, 0.10263888888888889, 0.11032742400111156, 149.99742730528578, 130.146031858885, 125.36758989902738, 108.1521155669524, 147.69977907924977, 127.18931058718216, 128.84688421566884, 110.58173682972108, -0.1642017323145813, -0.16899413664628832, -0.1276433518120919, -0.1305736596950684, -0.38769853463165027, -0.3990139337481808, -0.3013801362229948, -0.3082989187244671
WYAN002, Wyandotte Nation Casino, 2014-8, 2014-8, 167, 227, 60, 0.3592814371257485, 0.10069444444444445, 0.10978768115549002, 0.08993055555555556, 0.09727116693881825, 97.0833952505716, 89.81349721468165, 85.95605809335558, 72.57113420056025, 95.6731686066653, 88.13040903344766, 87.01502638674683, 73.02289528535456, -0.11461627530121331, -0.19197964168912038, -0.09049707818828616, -0.17142225837576022, -0.31901529958837704, -0.5343433360347184, -0.2518835342907298, -0.4771252858125326
WYAN002, Wyandotte Nation Casino, 2015-3, 2015-3, 241, 284, 43, 0.17842323651452283, 0.0925, 0.09759579421823306, 0.08465277777777777, 0.09585844887332003, 87.72622938743801, 75.10871924987669, 82.82627048192373, 69.30997825598189, 88.7933184496768, 75.70592489070896, 85.33125796134567, 70.95757357745072, -0.0558551181297658, -0.07720463152358062, -0.03899010138125696, -0.0627209999760664, -0.31304845277380366, -0.4327050278414635, -0.21852591704378901, -0.35152932544725585
WYAN002, Wyandotte Nation Casino, 2016-3, 2016-4, 310, 339, 29, 0.0935483870967742, 0.08465277777777777, 0.09585844887332003, 0.0675, 0.09707151173693052, 82.82627048192373, 69.30997825598189, 65.96947450803835, 61.40462227905605, 85.33125796134567, 70.95757357745072, 45.240298672566375, 41.3043263590708, -0.2035199203803854, -0.11405797802632492, -0.4698273557263173, -0.41790108826104627, -2.1755577695834303, -1.2192404547641629, -5.022292423281322, -4.467218529687046
