customernumber,customername,year,month,beginfootprint,deltaptcount,trainset,GamesPlayed,ActualWin,TheoWin,MachineDays,AdjGamesPlayed,AdjActualWin,AdjTheoWin,AdjMachineDays,PriorUtil,PriorWPUPD,PriorTheoWPUPD,PostUtil,PostWPUPD,PostTheoWPUPD,PriorAdjUtil,PriorAdjWPUPD,PriorAdjTheoWPUPD,PostAdjUtil,PostAdjWPUPD,PostAdjTheoWPUPD
CONF001,Kwa Taq Nuk Resort,2015,10,46,0,CTRL,3025327,159131.8,163408.691409,1482,2172743.75752,88759.5826819,91145.1215665,0,0.151631363044,129.325030209,123.118528552,0.139558392244,121.340375749,109.123761037,0.186536837684,119.22255376,111.669317847,0.120032227323,93.5098474769,81.941562191
CONF001,Kwa Taq Nuk Resort,2015,11,46,0,CTRL,2650172,178965.15,140122.544025,1419,3907493.97917,180857.345131,141604.05702,0,0.150230020618,122.417742432,122.078557052,0.135607874046,119.783710883,105.451082682,0.159956151887,98.4491758634,96.7489192626,0.155603364043,99.5530922099,86.5573647049
CONF001,Kwa Taq Nuk Resort,2015,12,46,0,CTRL,3042323,188277.6,169847.639946,1437,2846095.47562,136028.790542,122713.318197,0,0.142382056954,122.704755257,113.521605691,0.143538820719,118.917240886,116.183107894,0.176686322496,112.844584453,103.170679742,0.161149429846,93.5629493451,92.0052816849
CONF001,Kwa Taq Nuk Resort,2016,1,46,0,CTRL,2669195,145671.1,141571.352072,1426,2657799.45917,109400.20517,106321.260449,0,0.14093145978,122.463663194,111.537272998,0.144768490869,133.913010033,124.527504417,0.157665879607,102.127398757,91.6546545428,0.158492385178,106.932545707,100.104703628
CONF001,Kwa Taq Nuk Resort,2016,2,46,0,CTRL,2963509,165146.96,176201.511815,1334,3626719.81228,147254.702689,157111.588586,0,0.137190331271,116.593624219,106.688103305,0.150591317767,139.943405797,138.585123465,0.139565173099,89.3556425269,80.1151556615,0.134688886045,102.73882578,100.361355249
CONF001,Kwa Taq Nuk Resort,2016,3,46,0,CTRL,3093709,249741.8,203499.269603,1426,3522047.36277,190964.72847,155605.440353,0,0.140041337745,120.737323718,111.777608237,0.137564981096,137.954253308,136.415522397,0.16122226088,102.12625419,93.9726182785,0.188441347075,104.155454041,101.804940655
CONF001,Kwa Taq Nuk Resort,2016,4,46,0,CTRL,2920434,164476.94,194041.629729,1380,2138019.97802,87119.3075692,102778.981793,0,0.145344715158,133.174010315,122.909438633,0.124824598861,120.353267081,126.816978234,0.15626126462,103.7966258,96.3456531362,0.11819140905,91.1781812532,94.2594108808
CONF001,Kwa Taq Nuk Resort,2016,5,46,0,CTRL,2369177,169603.66,179769.591451,1426,3565994.12081,162701.845464,172454.086707,0,0.145312400188,130.261731944,128.514869425,0.108221354167,121.228576087,116.472304448,0.149027161589,96.0723938014,93.7508572009,0.134586130767,112.214367427,109.095826763
CONF001,Kwa Taq Nuk Resort,2016,6,46,0,CTRL,498256,53456.92,34539.4487338,414,580767.084482,43772.5906023,28282.2345367,0,0.141569212381,134.561509163,135.377650485,0.0835775630703,129.122995169,83.42862013,0.160358292334,105.648685626,105.632428573,0.0974179892113,105.730895175,68.3145761757
CONF002,Gray Wolf Peaks Casino,2013,7,10,0,CTRL,368838,16732.85,23976.636061,231,482026.939049,19419.4045619,27826.2218153,0,0,0,0,0.109558724006,110.505537099,107.576833252,0,0,0,0.157657138338,109.283109575,110.026880913
